hours-per-week,age,capital-gain,capital-loss,workclass,education-num,marital-status,race,gender,income,occupation
44,42,0,0,2,12,2,4,0,2,10
13,28,0,0,4,8,2,4,0,1,10
49,17,0,0,4,9,2,4,1,1,3
49,21,0,0,5,15,2,4,1,2,10
44,32,0,0,4,14,2,4,1,1,10
1,70,0,0,0,8,6,4,1,0,0
39,27,0,0,4,12,2,4,1,2,4
17,3,0,0,4,9,4,4,0,0,12
54,33,52,0,4,10,2,4,1,2,14
15,6,0,0,4,9,2,4,0,1,12
43,33,0,51,4,8,2,4,1,2,7
44,25,0,0,4,6,2,4,1,1,14
39,23,0,0,1,8,2,4,1,1,12
39,34,0,0,1,9,2,4,1,2,4
49,40,0,0,4,8,2,4,1,1,14
39,12,0,0,4,8,4,4,1,0,6
59,33,0,0,1,11,2,4,1,1,4
39,23,0,0,1,9,2,4,1,2,13
39,35,0,43,4,8,6,4,0,0,12
34,6,0,0,4,8,4,4,1,0,12
39,29,0,0,4,12,2,4,1,2,10
55,26,0,0,2,10,2,4,1,1,11
39,5,0,0,4,8,4,4,1,0,1
63,4,0,0,4,8,4,4,0,0,8
39,25,0,0,4,8,2,4,1,1,6
39,36,0,0,4,9,2,4,1,1,13
39,9,0,0,4,9,2,4,1,0,14
39,10,70,0,4,8,2,4,1,2,12
73,8,0,0,4,10,2,4,1,1,4
39,30,81,0,4,8,2,4,1,2,7
49,14,0,0,4,8,2,4,1,1,3
49,12,0,0,4,8,5,4,1,1,12
39,4,0,0,0,8,4,4,0,0,0
39,33,0,0,4,9,0,4,0,0,8
49,29,0,0,4,3,4,4,1,0,6
39,7,0,0,4,8,5,4,1,0,7
29,6,0,0,4,8,2,4,1,0,4
84,16,0,0,4,8,4,4,1,0,14
38,20,0,0,7,14,2,4,0,2,10
38,34,0,82,7,10,0,4,1,2,13
38,19,0,0,7,9,0,4,0,1,4
39,29,0,0,4,12,4,4,0,1,10
39,30,0,0,4,8,2,4,1,1,3
39,3,0,0,4,8,2,4,1,0,12
59,34,0,0,6,9,5,4,0,0,4
29,14,0,0,4,10,2,4,1,2,14
39,15,0,0,4,9,0,4,0,0,7
55,21,0,0,1,8,2,4,1,1,7
39,33,0,0,4,10,2,4,1,1,11
27,1,0,0,4,9,4,4,1,0,12
54,33,0,0,2,15,2,4,1,2,4
15,3,0,0,4,9,4,4,1,0,12
59,28,95,0,6,14,2,4,1,2,10
44,18,0,0,4,8,2,4,1,2,4
49,13,0,0,4,8,2,4,1,0,3
39,28,0,0,1,9,2,4,1,2,1
34,3,3,0,0,9,4,3,0,0,0
39,26,0,0,4,9,2,4,1,0,1
59,22,0,0,4,9,0,4,0,0,1
19,17,0,0,4,8,4,4,0,0,4
34,9,0,0,4,5,2,4,1,0,14
9,6,0,0,4,5,2,4,1,0,6
59,33,98,0,5,15,2,4,1,2,4
54,33,98,0,6,13,2,4,1,2,12
59,12,0,0,4,15,2,1,1,1,10
64,20,0,0,7,13,4,4,1,1,4
46,22,0,0,6,9,0,4,1,0,12
39,18,0,0,4,13,4,4,0,0,12
54,13,0,0,4,8,2,4,1,1,8
47,5,0,0,6,9,4,4,1,1,3
39,10,0,0,4,8,0,4,0,0,8
39,13,0,0,7,8,2,4,1,1,11
39,11,0,0,4,11,2,4,1,1,14
29,15,0,0,4,8,2,4,1,0,12
39,22,0,0,4,8,4,4,1,0,3
4,18,0,0,6,8,4,4,0,0,8
39,8,0,0,4,5,2,4,1,1,14
39,17,0,0,4,8,2,4,1,1,3
37,24,0,0,6,8,2,4,1,1,4
47,9,0,0,4,8,2,4,1,1,12
29,28,0,0,4,8,2,4,1,0,3
39,25,0,0,4,8,2,4,1,0,7
39,12,0,0,4,8,2,4,1,1,3
38,25,0,0,7,8,5,4,1,1,1
37,30,0,0,4,3,5,4,0,0,8
44,13,0,0,4,12,2,4,1,2,4
69,17,0,0,4,8,2,4,1,1,12
34,38,0,0,4,8,2,4,1,0,12
34,18,0,0,4,10,0,4,0,0,8
29,4,6,0,4,8,4,4,0,0,8
39,22,0,0,4,8,2,4,1,1,14
39,25,53,0,4,12,2,4,1,1,4
39,56,0,0,5,5,6,4,0,0,12
39,30,0,0,5,12,4,4,1,2,12
69,58,0,0,4,5,6,4,0,0,9
44,18,0,0,4,8,2,4,1,1,4
39,36,0,0,6,12,2,4,1,1,3
24,2,0,0,0,9,4,4,0,0,0
39,12,0,0,6,8,2,4,1,1,3
34,37,0,0,4,8,2,4,1,1,3
39,30,0,0,7,9,0,4,1,1,3
15,1,0,0,4,8,4,4,0,0,8
15,0,0,0,4,7,4,4,1,0,8
39,4,0,0,4,9,4,4,0,0,8
24,24,0,0,2,9,2,4,0,1,14
44,23,0,0,4,8,0,4,1,1,3
44,16,0,0,4,5,4,4,0,0,7
49,14,0,0,4,8,2,4,1,1,3
39,21,0,0,6,10,0,4,0,1,8
31,31,0,0,0,8,3,4,0,0,0
49,33,0,0,4,8,2,4,1,2,3
19,2,0,0,4,9,4,4,0,0,12
39,31,0,0,1,8,2,4,1,1,6
39,12,60,0,6,8,2,4,1,1,5
39,7,0,0,4,9,4,4,1,0,7
39,18,0,0,4,8,2,4,1,0,3
49,31,0,0,5,12,2,4,1,0,3
39,5,0,0,4,8,4,4,0,0,1
39,7,0,0,4,8,4,4,1,1,3
44,19,0,0,4,9,2,4,1,1,14
39,28,0,0,4,8,4,4,1,0,7
39,25,0,0,4,9,0,4,0,0,7
54,19,0,0,4,12,2,4,1,2,4
39,24,0,0,4,12,0,4,0,0,10
49,24,0,0,2,13,2,4,1,1,10
34,48,87,0,5,6,2,4,1,2,4
44,29,0,0,4,11,2,4,1,1,3
15,20,0,0,4,4,2,4,1,0,11
41,18,0,0,4,10,2,4,1,2,3
47,46,0,0,2,13,2,4,1,1,10
39,4,0,0,4,9,4,4,0,0,4
37,16,0,0,4,8,2,4,1,1,6
39,28,0,0,7,10,2,4,1,2,10
37,11,0,0,4,8,2,4,1,0,6
39,20,0,0,2,10,4,4,0,1,11
49,24,0,0,5,8,2,4,1,2,4
44,7,45,0,4,8,2,4,1,1,8
34,17,0,0,4,9,4,4,1,0,10
23,21,0,0,4,12,2,4,0,1,13
39,27,0,0,4,9,2,4,1,1,6
36,17,0,0,4,12,2,4,1,1,1
44,41,0,0,4,8,2,4,1,1,4
11,0,0,0,4,6,4,4,0,0,12
38,39,0,0,7,13,0,4,0,1,10
44,18,0,0,4,5,2,4,1,1,7
42,29,0,0,4,4,2,4,1,1,7
39,22,0,0,6,11,2,4,0,2,1
19,1,0,0,6,6,4,4,0,0,1
39,30,0,0,4,8,2,4,1,0,14
34,3,0,0,4,8,4,4,0,0,14
49,26,0,0,5,9,2,4,1,2,4
39,1,0,0,2,7,4,4,1,0,11
49,15,0,0,4,12,2,4,1,2,12
37,37,0,0,2,10,2,4,1,2,11
49,29,0,0,4,9,2,4,1,1,4
39,11,0,0,4,13,4,0,0,0,10
39,33,0,0,1,12,2,4,1,1,4
59,28,0,0,4,10,0,4,1,1,4
39,23,0,2,4,9,0,4,0,1,13
32,41,0,0,2,8,0,4,1,0,4
39,43,0,0,4,8,4,4,1,0,6
39,17,0,0,4,12,2,4,1,1,4
39,21,0,0,4,9,0,4,0,0,3
39,17,0,0,4,10,0,4,1,0,3
14,18,0,0,0,11,2,4,1,1,0
49,40,0,0,6,8,2,4,1,2,3
39,15,0,0,4,8,0,4,1,0,3
54,12,0,0,4,14,4,4,0,0,10
54,11,0,0,4,14,4,4,1,2,10
34,5,0,0,4,9,4,4,0,0,10
39,34,0,0,4,8,3,4,0,0,8
49,38,87,0,4,8,2,4,1,2,1
49,49,0,0,4,8,6,4,0,0,9
59,25,0,0,6,8,2,4,1,1,5
44,25,0,0,4,9,0,4,0,1,4
29,2,0,0,4,9,4,4,0,0,12
49,18,0,0,4,11,4,4,1,1,6
59,21,0,0,6,12,2,4,1,1,5
39,36,0,0,4,8,2,4,1,2,3
39,7,0,0,4,8,4,4,1,0,3
29,44,0,0,1,9,2,4,0,1,1
39,9,0,0,4,8,4,4,1,1,5
39,19,0,0,1,8,2,4,1,1,1
39,24,0,0,4,10,2,4,1,1,12
24,27,3,0,4,10,4,4,1,0,9
39,18,0,0,4,12,4,4,0,0,10
39,11,0,0,4,8,4,4,0,0,8
39,14,0,0,4,5,4,4,1,0,8
34,34,0,0,4,8,2,4,1,1,8
19,21,0,0,5,12,4,4,0,1,3
35,27,0,0,4,11,4,4,0,1,10
41,55,43,0,6,8,2,4,1,1,5
34,37,0,55,6,12,2,4,0,2,4
54,11,0,0,2,12,4,4,0,1,10
9,54,0,0,4,3,6,4,1,0,14
39,24,0,0,6,9,0,4,1,0,3
59,19,0,0,6,9,2,4,1,1,3
87,32,0,0,4,8,0,4,1,1,14
81,17,0,0,4,9,2,4,1,2,13
44,21,0,0,4,8,2,4,1,1,12
54,41,0,0,6,8,2,4,1,2,12
39,48,0,0,4,8,4,4,0,0,1
39,17,0,0,2,8,4,4,0,0,1
59,24,0,0,6,8,2,4,1,1,5
49,24,0,0,4,12,2,4,1,2,12
19,58,43,0,4,8,2,4,1,1,12
39,31,0,0,4,8,2,4,1,0,8
39,5,0,0,0,9,4,4,1,0,0
29,3,0,0,0,9,4,4,1,0,0
39,7,0,0,4,8,2,4,1,1,3
39,34,0,0,4,7,2,4,1,1,14
39,4,0,0,4,8,4,4,0,0,12
39,22,0,0,4,9,2,4,1,1,14
44,17,0,0,4,8,2,4,1,1,4
44,44,0,0,0,12,4,4,0,1,0
54,41,0,0,2,9,4,4,0,1,10
39,38,0,0,2,12,2,4,1,2,4
45,33,0,0,7,8,0,4,0,1,1
24,52,0,0,4,13,2,4,1,0,10
38,37,0,0,7,11,0,4,1,0,1
31,22,0,0,4,13,4,4,0,1,8
41,36,0,0,7,13,2,4,1,2,4
3,64,0,0,4,12,2,4,1,2,1
39,36,0,0,5,15,2,1,1,2,12
39,37,0,0,4,8,2,4,1,2,1
44,27,0,0,4,8,2,4,1,1,1
44,1,0,0,0,9,4,4,1,0,0
49,45,0,0,4,12,2,4,1,2,10
51,25,0,0,0,8,2,4,1,1,0
64,27,0,0,4,12,0,4,0,1,8
39,32,79,0,4,10,2,4,1,1,3
19,2,0,0,4,9,4,4,0,0,8
59,23,0,0,4,3,2,4,1,0,3
39,34,0,0,0,9,0,4,0,0,0
39,4,0,0,0,8,2,4,0,0,0
39,20,0,0,4,2,2,1,1,1,8
39,28,95,0,5,12,2,4,1,2,12
39,40,0,0,4,13,3,4,0,1,10
38,33,0,0,7,9,0,4,0,1,1
49,40,0,55,5,13,2,4,1,2,12
34,30,0,0,6,8,2,4,1,1,5
54,12,0,0,2,12,2,4,1,1,4
39,32,0,0,4,8,2,4,1,2,1
44,26,0,0,4,8,2,4,1,1,12
49,51,0,0,6,15,2,4,1,0,10
47,35,0,0,4,8,2,4,1,2,7
39,21,0,0,1,8,2,4,1,1,1
39,21,0,0,4,6,0,4,1,0,7
39,26,0,0,4,8,4,4,1,0,6
39,12,0,0,4,8,4,4,0,0,12
39,18,0,0,2,12,4,4,1,1,4
43,28,0,0,4,9,2,4,1,2,7
34,4,0,0,4,8,4,4,0,1,1
39,1,0,0,4,7,4,4,1,0,9
39,15,0,0,6,8,0,4,1,0,3
39,21,0,0,4,8,4,4,0,1,7
15,19,0,0,6,8,5,4,0,0,8
39,18,0,0,1,9,4,4,0,0,6
39,18,0,0,4,8,4,4,0,0,7
39,17,0,0,7,8,0,4,1,1,3
39,45,56,0,0,10,2,4,1,1,0
44,26,0,0,2,13,2,4,1,2,10
39,32,41,0,4,11,5,4,0,0,1
39,33,0,0,4,8,2,4,1,1,10
44,22,0,47,4,13,2,4,1,2,4
39,23,0,0,4,5,2,4,1,2,7
49,38,0,0,4,8,2,4,1,0,14
39,6,0,0,4,8,4,4,1,0,5
44,19,0,0,4,9,2,4,1,1,14
17,46,0,0,1,9,2,4,1,2,13
39,21,0,0,4,11,0,4,0,0,1
19,0,0,0,4,4,4,4,0,0,8
39,12,0,0,0,8,4,4,1,0,0
39,14,0,0,4,5,0,4,1,0,7
32,29,0,0,4,11,4,4,0,1,10
39,9,0,0,4,10,2,4,1,0,6
39,13,0,0,4,12,2,4,1,2,1
73,20,0,0,4,8,0,4,1,1,12
24,2,0,0,4,6,4,4,0,0,7
55,2,0,0,4,6,4,4,1,0,3
47,40,0,0,6,9,2,4,1,0,8
49,25,0,0,4,8,2,4,1,1,14
49,41,0,0,4,5,2,4,1,2,14
64,20,0,0,4,5,4,4,1,1,7
39,16,0,0,4,8,2,4,1,1,7
59,24,0,0,4,12,2,4,1,2,4
39,26,0,0,1,10,0,4,1,1,3
39,25,0,0,1,8,0,4,0,0,1
19,38,0,0,4,8,2,4,1,1,13
12,33,0,0,6,12,2,4,1,1,4
39,17,0,0,7,8,2,4,1,2,11
44,46,105,0,4,9,2,4,1,1,3
44,16,0,0,4,12,2,4,1,1,4
36,13,0,19,4,11,2,4,0,2,14
39,11,0,0,4,9,4,4,0,1,1
37,17,0,0,4,4,5,4,0,0,1
44,26,0,0,4,9,2,4,1,2,4
39,21,0,0,4,14,4,4,1,2,4
39,20,0,0,4,8,0,4,0,1,1
64,15,0,0,5,8,2,4,1,2,12
49,10,0,0,4,8,2,4,1,1,4
44,5,0,0,4,11,4,4,1,0,14
23,1,0,0,4,9,4,4,0,0,8
31,35,0,0,4,6,2,4,1,1,8
44,21,0,0,4,12,2,4,1,2,10
34,10,0,0,4,9,0,4,0,0,12
39,11,0,0,4,9,4,4,1,1,8
44,5,0,0,4,8,4,4,1,0,3
39,19,0,0,4,8,0,4,0,1,1
44,14,0,0,5,8,4,4,1,1,3
39,6,0,0,4,12,4,4,1,0,4
39,5,0,0,4,12,4,4,1,0,12
29,5,0,0,4,12,4,4,1,0,4
37,7,0,0,4,8,4,4,1,0,12
39,6,0,0,4,9,0,4,1,0,1
45,20,0,0,4,12,4,4,1,1,14
59,32,0,0,5,14,2,4,1,2,10
39,17,0,0,4,12,2,4,1,1,4
39,60,0,0,4,8,6,4,0,1,1
49,8,0,0,4,12,4,4,1,1,4
81,22,0,0,4,9,2,1,1,2,8
39,1,0,0,4,8,4,1,0,0,12
7,35,0,69,0,12,6,4,0,0,0
49,25,0,0,4,12,0,4,0,1,12
49,23,0,0,4,12,2,4,1,2,12
49,21,0,0,2,12,2,4,1,2,10
39,41,112,0,5,10,2,4,1,2,4
39,10,0,0,5,9,5,4,0,0,12
44,29,0,51,2,13,2,4,1,2,4
11,0,0,0,4,6,4,4,1,0,6
39,17,0,0,4,8,5,4,1,1,1
41,15,0,58,4,11,2,4,1,1,10
39,27,0,0,4,8,2,4,0,1,12
39,2,0,0,4,9,0,4,0,0,8
47,35,52,0,4,11,2,4,1,2,12
44,33,79,0,4,8,2,4,1,1,3
39,5,0,0,4,8,4,4,0,0,1
31,10,0,0,2,12,4,4,0,1,11
39,6,0,0,4,4,4,4,1,0,14
19,27,0,0,4,13,2,4,1,2,13
29,2,0,0,4,8,4,4,1,0,1
34,21,0,0,6,12,2,4,1,1,3
11,73,49,0,6,8,4,4,1,0,4
39,10,0,0,4,11,4,4,1,1,1
34,31,0,0,4,13,0,4,1,1,12
39,28,0,0,1,8,2,4,1,2,3
17,0,0,0,0,6,4,4,0,0,0
39,20,0,0,1,8,0,4,1,1,6
49,49,0,0,5,3,2,4,1,0,4
39,48,0,0,0,12,6,4,0,1,0
59,14,0,0,4,8,4,4,1,0,4
39,27,0,0,4,8,2,4,0,2,3
59,4,27,0,4,10,4,4,0,1,4
19,2,0,0,4,10,4,4,0,0,8
39,36,0,81,6,12,2,4,1,2,4
14,58,0,0,4,5,6,4,0,1,8
37,9,0,0,7,10,0,4,0,1,4
39,22,0,0,4,7,2,4,1,1,7
44,15,0,0,4,12,4,4,1,1,10
49,37,0,55,4,15,2,4,1,2,10
44,27,0,0,6,9,4,4,0,1,1
39,31,0,0,6,9,4,4,1,1,1
29,16,0,0,4,8,2,4,1,2,3
39,33,0,0,4,13,2,4,1,2,4
44,30,0,0,4,13,0,4,1,1,10
29,37,0,0,6,14,2,4,1,2,10
24,1,0,0,4,8,4,4,1,0,8
23,52,0,0,4,8,6,4,0,0,1
14,28,0,0,6,13,0,4,0,0,10
39,9,0,0,4,5,2,4,0,1,1
49,12,0,0,4,8,0,4,0,1,3
39,19,0,0,4,8,4,4,0,0,7
34,18,0,0,7,9,4,4,1,1,10
39,47,0,0,4,6,2,4,1,1,12
49,15,0,0,4,8,2,4,0,2,4
39,28,0,0,4,10,2,4,1,1,3
39,5,0,0,4,12,4,4,0,0,10
6,5,0,0,4,12,4,4,0,0,4
44,46,0,0,4,8,0,4,1,2,14
39,9,0,0,4,8,0,4,0,0,4
39,13,0,0,4,12,2,3,1,1,10
39,19,0,0,4,11,4,4,0,1,13
59,20,0,0,4,12,2,4,1,2,4
47,24,0,0,4,8,0,4,1,1,6
39,17,76,0,4,8,4,4,0,1,1
39,22,0,0,4,13,2,4,1,2,4
54,34,0,0,4,8,2,4,1,2,3
39,7,0,0,4,12,4,4,0,0,1
39,4,0,0,4,8,4,4,0,0,8
39,25,0,0,1,12,2,4,1,2,4
14,1,0,0,4,9,4,4,1,0,12
42,30,0,0,4,12,2,4,1,2,4
39,23,0,0,4,10,2,4,1,1,10
21,8,0,0,4,8,4,4,0,0,8
