sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score,score_text,two_year_recid
1,6,0,0,0,0,1,0,1,0,0
1,12,0,0,0,0,1,0,1,0,0
0,21,2,0,0,0,0,0,0,0,1
1,6,2,0,1,2,8,0,5,1,1
1,12,2,0,0,0,0,0,3,0,0
1,13,2,0,0,0,0,1,4,1,0
0,21,2,0,0,0,1,0,3,0,0
1,41,0,0,0,0,14,0,8,2,1
1,25,2,0,0,0,1,0,0,0,0
1,3,0,0,0,0,3,0,8,2,1
1,20,2,0,0,0,5,1,3,0,1
1,16,2,0,0,0,0,0,4,1,0
1,15,0,0,0,0,5,0,4,1,1
1,19,0,0,0,0,3,0,1,0,0
1,24,2,0,0,0,1,0,1,0,1
1,23,0,0,1,0,10,0,8,2,1
1,4,0,0,0,0,0,0,3,0,1
1,15,0,0,8,2,28,0,7,2,1
1,13,0,0,0,0,1,1,6,1,0
0,12,5,0,0,0,1,0,1,0,0
1,13,2,0,0,0,13,0,9,2,1
1,9,0,0,0,0,3,0,8,2,1
1,38,0,0,0,0,8,0,8,2,0
1,34,2,0,0,0,3,1,8,2,0
1,15,0,0,0,0,19,0,9,2,1
0,46,2,0,0,0,2,1,0,0,0
1,4,2,0,0,0,4,0,5,1,1
1,24,2,0,0,0,6,0,2,0,0
0,7,2,0,0,0,2,0,3,0,0
1,12,2,0,0,0,1,1,1,0,0
1,10,2,0,0,0,2,0,0,0,0
0,19,5,0,0,0,2,1,1,0,0
1,10,2,0,0,0,0,1,1,0,1
0,6,0,0,0,0,0,1,1,0,0
0,11,2,0,1,0,10,0,3,0,1
1,26,2,0,0,0,2,1,1,0,1
0,12,3,0,0,0,4,0,4,1,1
1,14,0,0,0,0,3,0,6,1,1
1,13,2,0,0,0,2,1,2,0,1
1,13,0,0,0,0,1,1,1,0,0
1,41,2,0,0,0,1,0,1,0,1
0,27,2,0,0,0,4,0,3,0,0
0,2,0,1,0,0,1,0,9,2,0
0,25,2,0,0,0,0,1,0,0,0
1,20,0,1,1,0,9,0,7,2,1
1,14,0,0,0,0,11,0,5,1,1
1,15,0,0,0,0,8,1,4,1,1
0,13,0,0,0,0,0,0,2,0,1
0,15,0,0,0,0,7,0,8,2,1
1,9,0,0,0,0,2,0,8,2,1
0,2,0,0,0,0,0,0,5,1,0
0,8,2,0,0,0,0,1,5,1,0
0,43,0,0,0,0,1,0,0,0,1
1,34,5,0,0,0,13,0,6,1,1
1,45,3,0,0,0,1,0,0,0,0
0,14,0,0,0,0,4,0,9,2,1
1,11,3,0,0,0,1,0,3,0,0
0,28,5,0,0,0,1,0,1,0,0
0,8,0,0,0,0,2,1,3,0,1
1,37,0,0,0,0,3,1,0,0,0
1,21,2,1,0,0,1,1,3,0,0
0,12,2,0,0,0,3,0,6,1,1
1,12,0,0,0,0,1,0,6,1,0
1,30,2,0,0,0,2,1,1,0,0
1,4,0,0,0,0,1,0,1,0,0
1,28,2,0,0,0,6,0,0,0,1
0,31,2,0,0,0,6,0,5,1,0
1,13,2,0,0,0,0,0,4,1,0
1,7,0,0,0,0,1,1,1,0,1
1,5,3,0,0,0,0,0,2,0,0
0,14,0,0,0,0,5,0,6,1,0
1,34,3,0,0,0,2,1,0,0,0
1,44,0,0,0,0,8,0,3,0,0
0,19,2,0,0,0,6,0,9,2,0
1,37,2,0,0,0,1,0,0,0,0
1,13,3,0,0,0,8,0,8,2,1
1,10,0,0,0,0,6,1,5,1,1
1,36,3,0,0,0,2,0,0,0,0
1,40,3,0,0,0,0,0,1,0,0
1,60,2,0,0,0,1,1,0,0,1
1,38,2,0,0,0,0,0,0,0,0
1,6,5,0,0,0,0,0,1,0,0
1,20,0,2,2,1,22,0,7,2,1
1,4,0,0,0,0,1,0,4,1,1
1,29,0,0,0,0,23,1,7,2,1
1,5,0,0,0,0,0,1,1,0,1
1,39,3,0,0,0,1,0,0,0,0
0,20,2,0,0,0,2,0,4,1,1
1,48,0,0,0,0,3,0,0,0,0
1,27,2,0,0,0,8,1,3,0,1
0,34,5,0,0,0,0,1,2,0,1
1,14,0,0,0,0,13,0,9,2,1
1,19,0,0,0,0,2,1,8,2,1
1,21,2,0,0,0,0,0,3,0,1
1,8,0,0,0,0,9,0,8,2,1
1,27,2,0,0,0,2,0,2,0,0
1,5,0,0,0,0,0,0,2,0,1
1,16,0,0,0,0,2,1,1,0,0
0,5,0,0,0,0,1,1,3,0,0
1,18,5,0,0,0,2,1,2,0,1
1,32,2,0,0,0,1,0,0,0,0
0,19,2,0,0,0,0,1,2,0,0
1,26,2,0,0,0,4,1,3,0,0
0,17,0,0,1,0,23,0,8,2,1
1,6,5,0,0,0,5,0,4,1,1
1,8,0,0,0,0,2,0,9,2,1
1,9,0,0,0,0,0,1,1,0,0
0,10,0,0,0,0,0,0,7,2,0
1,25,2,0,0,0,11,0,4,1,1
0,10,2,0,0,0,7,0,8,2,1
1,20,0,0,0,0,2,0,0,0,0
1,9,2,0,0,0,2,1,3,0,0
0,10,0,0,0,0,1,0,8,2,0
1,38,2,0,0,0,7,0,0,0,1
1,20,0,0,0,0,15,0,8,2,0
1,10,0,0,0,0,2,1,4,1,0
1,27,0,0,0,0,3,0,5,1,0
1,10,3,0,0,0,0,1,1,0,0
1,43,2,0,0,0,1,0,0,0,0
0,33,2,0,0,0,0,1,0,0,1
1,33,2,0,0,0,0,1,1,0,0
1,18,5,0,0,0,1,1,0,0,1
1,30,0,0,0,0,0,0,0,0,0
1,19,2,0,0,0,4,0,2,0,1
0,12,0,0,0,0,2,0,6,1,0
0,23,0,0,0,0,5,1,5,1,0
1,9,0,0,0,0,11,0,9,2,1
1,19,0,0,0,0,0,1,0,0,0
1,15,5,0,0,0,4,0,3,0,1
1,36,0,0,0,0,11,0,8,2,0
1,5,0,0,0,0,2,0,8,2,0
0,8,0,0,0,0,2,0,3,0,1
1,23,0,0,0,0,0,1,0,0,0
1,34,2,0,0,0,0,0,0,0,0
1,25,2,0,0,0,13,0,3,0,1
1,34,0,0,0,0,0,0,3,0,0
1,10,2,0,0,0,1,0,0,0,0
1,12,0,0,0,2,11,1,8,2,1
1,10,2,0,0,0,1,0,4,1,0
1,4,0,0,0,0,0,0,3,0,0
1,12,0,0,0,0,4,0,1,0,0
1,7,3,0,0,0,4,0,3,0,0
1,13,2,0,0,0,0,0,7,2,1
1,19,2,0,0,0,0,0,1,0,1
1,14,0,0,1,0,14,0,8,2,0
1,8,0,0,1,0,4,1,7,2,0
1,35,2,0,0,0,1,1,0,0,0
1,10,0,0,0,0,25,0,7,2,1
1,26,2,0,0,0,8,1,4,1,1
1,7,0,0,0,0,0,0,2,0,0
1,4,2,0,0,1,1,1,7,2,1
0,19,5,0,0,0,0,1,0,0,0
0,22,5,0,0,0,3,0,1,0,0
1,18,2,0,0,0,8,0,6,1,1
1,12,2,0,0,0,4,0,1,0,0
1,4,0,0,0,0,3,1,8,2,1
0,6,2,0,0,0,1,1,6,1,1
1,9,0,0,0,0,3,1,1,0,1
0,13,3,0,0,0,0,1,1,0,0
1,5,3,0,0,1,1,0,5,1,1
0,5,2,0,0,4,5,0,4,1,1
1,6,3,0,0,0,0,1,7,2,0
1,11,0,0,0,0,1,1,2,0,0
1,2,0,0,0,0,1,0,7,2,1
1,12,0,0,0,0,2,0,5,1,1
1,21,5,0,0,0,0,0,0,0,0
1,9,0,0,0,0,4,0,3,0,0
1,13,2,0,0,0,2,1,3,0,0
0,19,0,0,0,0,2,0,0,0,0
1,2,0,0,0,0,0,0,7,2,0
1,4,3,0,0,1,0,0,6,1,0
0,34,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,3,0,1
0,30,0,0,0,0,0,0,1,0,0
1,48,0,0,0,0,8,0,5,1,1
1,7,2,0,0,0,0,0,4,1,0
1,9,2,0,0,0,0,0,5,1,1
1,12,0,0,0,0,11,0,6,1,1
1,4,0,0,1,1,3,1,9,2,1
0,4,2,0,0,0,1,0,2,0,0
1,17,0,0,0,0,2,0,9,2,0
1,14,2,0,0,0,2,0,3,0,0
0,23,0,0,0,0,2,1,2,0,0
0,7,5,0,0,0,0,0,1,0,0
1,26,0,0,0,0,24,1,6,1,0
1,34,0,0,0,0,3,0,5,1,1
1,25,0,0,0,0,0,0,0,0,0
1,19,2,0,0,0,3,0,0,0,0
1,10,0,0,0,0,3,1,3,0,1
1,52,2,0,0,0,1,1,0,0,0
1,36,2,0,0,0,6,0,1,0,1
1,28,2,0,0,0,3,0,3,0,0
1,3,0,0,0,0,0,1,8,2,1
1,8,0,0,0,0,1,1,7,2,1
1,20,3,0,0,0,3,0,0,0,1
1,16,2,0,0,0,5,1,3,0,0
1,1,0,0,0,0,1,0,4,1,1
1,16,0,0,0,0,5,1,3,0,0
1,5,2,0,0,0,0,0,4,1,1
1,16,0,0,0,0,5,0,3,0,1
1,12,0,0,0,0,2,0,0,0,0
1,21,0,0,0,0,6,0,2,0,1
1,6,5,0,0,0,0,0,2,0,0
1,15,2,0,0,0,1,1,2,0,1
1,40,2,0,0,0,2,0,2,0,0
0,3,0,0,0,0,0,1,5,1,0
1,3,0,0,0,0,1,0,4,1,0
1,5,0,0,0,1,4,1,7,2,1
1,44,2,0,0,0,0,0,0,0,0
1,9,0,1,0,1,4,1,7,2,1
1,19,2,0,0,0,5,0,2,0,0
1,25,5,0,0,0,2,0,1,0,1
0,14,0,0,0,0,5,0,0,0,0
1,5,3,0,0,0,0,0,2,0,0
1,9,0,0,0,0,0,1,0,0,0
1,26,2,0,0,0,0,1,0,0,1
1,10,2,0,0,0,3,1,2,0,1
0,24,2,0,0,0,0,0,1,0,0
1,6,5,0,1,0,9,0,9,2,1
1,9,0,0,0,0,0,0,1,0,0
1,2,0,0,0,0,0,0,9,2,1
0,33,2,0,0,0,0,1,0,0,0
1,38,2,0,0,0,0,1,0,0,0
1,11,0,0,0,0,7,0,8,2,0
1,2,0,0,0,0,0,0,8,2,1
1,35,2,0,0,0,6,0,0,0,0
1,9,2,0,0,0,8,0,4,1,0
1,6,0,0,1,0,2,0,8,2,1
1,35,2,0,0,0,34,0,5,1,1
1,10,2,0,0,0,2,1,2,0,1
1,27,0,0,0,0,1,0,0,0,0
1,3,3,0,1,0,3,0,4,1,0
0,18,0,0,0,0,0,0,6,1,0
0,7,2,0,0,0,2,1,3,0,1
0,5,3,0,0,0,1,1,2,0,0
1,10,2,0,0,0,1,0,4,1,0
0,3,0,0,0,0,0,0,7,2,1
1,18,2,0,0,0,0,1,2,0,0
1,6,0,0,0,0,0,0,2,0,0
1,10,0,0,0,0,3,0,5,1,1
1,12,5,0,0,0,1,0,1,0,1
1,11,0,0,0,0,0,0,0,0,0
0,12,2,0,0,0,0,1,5,1,0
1,33,3,0,0,0,1,1,0,0,0
1,15,5,0,0,0,3,0,0,0,0
0,7,0,0,0,0,2,0,5,1,0
1,14,0,0,1,0,12,0,8,2,1
1,5,0,0,0,1,1,0,5,1,0
1,29,0,0,0,0,3,0,2,0,0
0,14,3,0,0,0,1,0,2,0,1
1,19,2,0,0,0,0,0,0,0,0
1,1,0,0,2,0,2,0,9,2,1
1,9,3,0,0,0,0,1,7,2,0
1,21,5,0,0,0,0,1,0,0,0
0,3,2,0,0,2,0,0,5,1,0
1,51,2,0,0,0,0,1,0,0,0
1,3,2,0,0,0,2,0,5,1,0
1,8,0,0,0,1,6,1,9,2,1
1,4,2,0,0,0,0,0,3,0,0
0,5,0,0,0,0,0,0,4,1,1
1,31,0,0,0,0,3,0,4,1,0
1,11,0,0,0,1,2,1,3,0,0
0,42,2,0,0,0,0,1,0,0,0
0,8,0,0,0,0,0,1,9,2,0
1,5,0,2,0,0,3,0,9,2,1
1,16,3,0,0,0,2,1,4,1,1
0,2,5,1,0,0,1,0,3,0,0
1,18,3,0,0,0,1,0,2,0,0
1,12,2,0,0,0,0,0,3,0,0
1,3,0,0,1,0,1,0,2,0,0
1,4,2,0,0,0,2,1,5,1,1
1,39,0,0,0,0,18,0,7,2,0
1,3,0,0,0,0,4,0,8,2,1
1,3,0,0,0,0,0,0,4,1,1
1,16,2,0,0,0,1,1,0,0,0
0,32,2,0,0,0,1,1,0,0,1
1,22,2,0,0,0,0,0,6,1,1
1,7,0,0,0,0,7,0,7,2,1
0,35,2,0,0,0,1,1,0,0,0
0,6,0,0,0,0,0,0,3,0,0
1,24,0,0,0,0,1,0,0,0,0
1,10,0,0,0,0,1,1,2,0,0
1,6,2,0,0,0,1,1,3,0,0
1,8,0,1,1,0,6,0,7,2,1
1,4,0,0,0,0,4,0,8,2,1
1,3,2,0,0,0,3,1,6,1,0
1,19,0,0,0,0,23,0,8,2,1
1,17,0,0,0,0,2,0,4,1,0
1,35,0,0,0,0,2,0,0,0,0
1,42,0,0,0,0,1,0,0,0,0
1,11,0,0,0,0,7,0,3,0,0
1,30,2,1,0,0,23,0,7,2,1
0,34,2,0,0,0,0,1,0,0,0
1,9,0,0,0,0,12,0,7,2,1
1,10,0,0,0,0,5,0,8,2,0
1,15,2,0,0,0,3,1,2,0,0
0,10,3,0,0,0,0,0,1,0,0
1,29,2,0,0,0,5,0,9,2,1
1,18,0,0,0,0,14,0,6,1,1
1,11,0,1,0,0,2,0,4,1,0
1,4,0,0,0,1,0,1,8,2,1
1,8,0,0,0,2,6,0,6,1,0
1,7,2,0,0,0,0,0,1,0,0
1,50,2,0,0,0,2,0,0,0,0
1,38,0,0,0,0,5,0,2,0,0
1,9,0,0,0,0,9,0,7,2,1
1,34,2,0,0,0,4,0,0,0,1
1,14,0,0,0,0,3,0,1,0,0
1,42,5,0,0,0,4,0,0,0,0
1,5,3,0,0,0,1,1,2,0,0
0,21,2,0,0,0,0,1,5,1,0
1,38,2,0,0,0,0,1,0,0,0
0,4,0,0,0,0,0,0,6,1,0
0,9,0,0,0,0,1,0,1,0,1
1,35,0,0,0,0,11,0,5,1,0
1,7,2,0,0,0,0,1,1,0,1
1,3,3,0,0,0,0,1,2,0,0
1,4,2,0,0,0,0,0,2,0,0
0,40,2,0,0,0,2,1,0,0,0
1,13,0,0,0,0,7,1,2,0,1
1,4,2,0,0,0,1,0,4,1,1
1,10,0,0,0,0,8,0,5,1,1
1,24,5,0,0,0,1,0,0,0,0
1,2,0,0,0,0,0,0,6,1,1
1,11,2,0,0,0,0,1,5,1,1
1,11,0,0,0,0,8,0,9,2,0
1,40,0,0,0,0,21,1,6,1,1
1,4,0,0,0,0,3,0,6,1,0
1,30,3,0,0,0,1,1,0,0,1
1,19,2,0,0,0,0,0,3,0,0
1,39,0,0,0,0,1,0,4,1,1
1,9,2,0,0,0,3,1,0,0,0
1,8,0,0,0,0,3,0,3,0,0
1,6,2,0,1,1,3,0,7,2,1
1,15,2,0,0,0,0,0,0,0,0
1,11,0,0,0,0,2,0,5,1,0
0,6,0,0,0,0,3,0,9,2,1
1,1,2,0,0,1,1,0,9,2,1
1,18,2,0,0,0,2,1,0,0,0
0,6,2,0,0,0,0,0,4,1,0
1,16,2,0,0,0,0,1,0,0,0
1,7,3,0,0,0,2,0,4,1,1
1,2,0,1,0,1,1,0,9,2,1
1,10,3,0,0,0,2,1,4,1,1
1,6,0,0,0,0,1,1,1,0,1
1,43,2,0,0,0,4,0,0,0,0
0,32,0,0,0,0,3,0,1,0,0
1,12,0,0,0,0,1,1,0,0,0
1,20,0,0,0,0,5,0,2,0,0
1,6,2,0,0,0,0,1,0,0,0
1,27,0,0,0,0,16,0,1,0,0
0,28,0,0,0,0,2,0,9,2,1
1,23,2,0,0,0,0,1,0,0,1
1,2,5,0,0,1,0,0,7,2,1
1,9,0,0,0,0,13,1,7,2,1
0,33,0,0,0,0,16,0,7,2,0
1,8,0,0,0,0,1,1,5,1,1
1,11,0,0,0,0,3,0,4,1,1
1,34,2,0,0,0,6,0,4,1,1
1,10,2,0,0,0,1,0,3,0,1
0,16,4,0,0,0,4,0,6,1,1
1,37,0,0,0,0,5,0,2,0,1
1,8,0,1,1,0,10,0,8,2,1
1,10,0,0,0,0,5,0,9,2,0
1,45,2,0,0,0,2,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0
1,5,0,1,2,2,6,0,5,1,0
1,36,0,0,0,0,28,0,8,2,1
1,17,0,0,0,1,8,0,6,1,1
0,6,0,1,0,0,6,0,8,2,1
1,36,0,0,0,0,2,1,0,0,0
1,40,0,0,0,0,12,1,5,1,1
1,5,2,0,0,1,1,1,4,1,1
1,17,0,0,0,0,1,1,1,0,0
1,2,0,0,0,0,1,0,9,2,1
1,33,2,0,0,0,0,0,0,0,0
1,6,3,0,0,0,0,0,9,2,0
1,19,2,0,0,0,3,0,1,0,0
1,29,2,0,0,0,3,0,0,0,0
1,16,2,0,0,0,4,0,5,1,1
1,38,2,0,0,0,0,0,0,0,0
1,16,3,0,0,0,4,0,0,0,1
1,41,2,0,0,0,1,0,0,0,1
1,17,1,0,0,0,0,0,5,1,0
1,40,3,0,0,0,1,0,0,0,0
1,11,3,0,0,0,2,1,3,0,0
0,6,2,0,0,1,6,0,8,2,1
1,3,2,0,0,4,2,1,8,2,1
1,8,0,0,0,0,2,1,8,2,0
1,32,1,0,0,0,5,0,6,1,1
1,8,0,0,0,0,1,0,1,0,0
0,12,2,0,0,0,0,1,1,0,0
1,11,2,0,0,0,6,0,8,2,1
1,11,2,0,0,0,0,1,3,0,1
1,36,0,0,0,0,0,1,0,0,0
1,11,0,0,0,0,4,0,3,0,1
0,41,2,0,0,0,0,1,0,0,0
1,20,0,0,0,0,0,0,4,1,0
0,4,3,0,0,0,2,0,4,1,1
1,11,0,0,0,0,4,0,6,1,1
1,9,2,0,0,0,1,1,2,0,1
1,8,3,0,0,0,7,0,4,1,1
1,34,3,0,0,0,20,0,2,0,0
1,48,0,0,0,0,32,0,5,1,1
1,9,2,0,0,0,2,0,4,1,0
1,33,2,0,0,0,1,1,0,0,0
1,17,2,0,0,0,1,0,1,0,0
1,8,0,0,0,0,1,0,6,1,0
1,34,2,0,0,0,4,1,2,0,0
0,17,0,0,0,0,12,1,1,0,0
1,30,5,0,0,0,12,0,4,1,0
0,8,0,0,0,0,0,1,1,0,0
0,30,2,0,0,0,0,1,0,0,0
1,12,3,0,0,0,7,1,3,0,0
1,10,5,0,0,0,2,1,0,0,0
1,15,0,0,0,0,2,1,2,0,0
0,16,0,0,0,0,6,0,3,0,0
1,7,5,0,0,0,0,1,0,0,0
1,41,0,0,0,0,10,0,6,1,1
1,11,0,0,0,0,5,0,4,1,1
1,6,2,0,0,0,0,0,1,0,0
1,30,2,0,0,0,1,0,6,1,1
1,37,0,0,0,0,0,1,7,2,1
1,34,0,0,0,0,4,1,4,1,0
1,2,0,0,0,0,0,0,3,0,1
1,7,2,0,0,0,4,0,3,0,1
1,6,2,0,0,0,0,0,1,0,0
1,5,2,0,0,0,0,1,8,2,0
1,9,2,0,1,3,6,0,3,0,0
1,7,0,0,1,0,1,1,2,0,1
1,13,0,0,0,0,0,0,1,0,0
1,7,0,0,1,0,6,0,3,0,1
1,14,2,0,0,0,1,0,0,0,1
1,3,2,0,0,0,0,0,2,0,1
1,19,5,0,0,0,1,0,0,0,0
1,7,2,0,0,0,0,0,2,0,0
1,14,3,1,1,0,20,0,9,2,0
1,17,0,0,0,0,0,0,6,1,0
1,24,0,0,0,0,14,0,6,1,1
1,6,2,0,0,1,9,1,9,2,1
1,4,2,1,0,4,6,0,9,2,1
1,3,3,0,0,0,0,0,5,1,1
1,29,2,0,0,0,1,1,0,0,0
1,9,0,0,0,0,5,0,8,2,1
1,25,3,0,0,0,2,1,0,0,1
1,28,2,0,0,0,2,0,5,1,1
1,26,0,0,0,0,1,1,2,0,0
1,9,0,0,0,0,0,0,4,1,0
1,5,2,0,0,0,2,0,1,0,0
0,32,3,0,0,0,1,0,0,0,0
1,24,0,0,0,0,8,0,4,1,0
1,40,0,0,0,0,6,0,5,1,0
1,8,0,0,0,1,3,0,5,1,0
0,30,5,0,0,0,0,0,0,0,0
1,21,0,0,0,0,3,0,2,0,1
1,3,0,0,2,0,3,0,4,1,1
1,45,2,0,0,0,1,1,0,0,0
1,4,0,0,1,0,3,0,6,1,1
1,32,0,0,0,0,3,1,2,0,0
1,20,0,0,0,0,0,0,0,0,0
1,23,2,0,0,0,1,0,5,1,0
1,10,0,7,0,1,16,0,7,2,1
0,12,0,0,0,0,0,1,2,0,0
1,5,0,0,0,0,1,0,4,1,0
1,7,2,0,0,0,2,0,3,0,1
1,22,2,0,0,0,5,0,3,0,0
1,6,3,0,0,0,8,0,7,2,0
1,9,0,0,0,0,5,1,3,0,1
1,26,2,0,0,0,11,1,2,0,0
0,17,0,0,0,0,6,0,1,0,1
1,24,2,0,0,0,0,1,0,0,0
1,20,0,0,0,0,15,0,6,1,0
1,8,3,0,0,0,4,0,5,1,0
0,7,0,0,0,0,0,1,2,0,0
1,6,2,0,0,0,1,0,3,0,0
1,46,3,0,0,0,1,0,0,0,0
0,31,2,0,0,0,2,1,0,0,1
1,32,2,0,0,0,5,0,0,0,1
1,10,2,0,0,0,8,0,5,1,1
1,48,2,0,0,0,0,1,0,0,1
0,28,2,0,0,0,0,1,0,0,0
1,12,0,0,0,1,5,0,5,1,1
0,4,2,0,0,0,0,1,2,0,0
1,5,2,0,0,0,1,1,3,0,0
1,12,5,0,0,0,0,1,5,1,1
1,6,0,1,0,0,10,0,9,2,1
1,13,3,0,0,0,0,1,0,0,0
1,13,5,0,0,0,1,0,1,0,0
1,3,0,4,0,0,4,0,6,1,1
1,10,0,0,0,0,4,0,7,2,0
1,7,0,0,0,0,0,1,2,0,0
0,3,2,0,0,0,0,0,6,1,0
1,9,0,0,0,0,0,1,1,0,0
1,2,3,0,0,0,0,1,1,0,1
1,14,3,0,0,0,1,0,0,0,0
0,6,2,0,0,1,0,0,4,1,0
1,2,0,1,0,0,1,0,2,0,0
1,13,0,0,0,0,3,1,7,2,1
1,9,0,0,0,0,3,1,6,1,1
1,41,0,0,0,0,17,0,4,1,1
1,22,0,0,0,0,0,0,1,0,0
1,4,0,0,0,0,11,0,9,2,1
0,20,0,0,0,0,1,0,0,0,0
1,18,3,0,0,0,1,1,9,2,1
1,12,0,0,0,0,1,1,6,1,0
1,9,2,0,0,0,6,0,5,1,1
1,25,0,0,0,0,1,1,0,0,0
0,41,2,0,0,0,0,1,0,0,0
1,19,2,0,0,0,2,1,0,0,0
1,10,0,0,0,0,5,1,6,1,1
1,20,2,0,0,0,0,0,0,0,0
1,4,0,0,0,1,0,0,7,2,1
1,25,3,0,0,0,1,1,0,0,0
1,7,0,0,0,0,4,0,4,1,1
1,33,2,0,0,0,0,1,0,0,0
1,12,3,0,0,0,6,0,4,1,1
1,11,2,0,0,0,2,1,1,0,1
1,10,0,0,0,0,10,0,2,0,0
1,8,0,0,0,0,6,1,7,2,0
1,37,0,0,0,0,9,1,2,0,1
0,5,2,0,0,0,3,0,9,2,0
0,4,0,0,0,0,0,1,4,1,0
0,1,2,0,0,0,2,0,9,2,1
1,13,0,0,0,0,1,1,0,0,0
1,11,0,0,0,0,0,1,0,0,0
1,43,0,0,0,0,15,0,5,1,1
1,6,0,0,0,0,4,0,9,2,1
1,13,3,0,0,0,0,1,1,0,0
1,2,0,0,1,1,4,0,8,2,1
1,8,2,0,0,0,3,0,6,1,1
1,9,2,0,0,0,5,1,8,2,0
